"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","CorrectionEfficiency","HarmRate","NetCorrectionPerChangedLabel","RefinementFamily","FullWrongToCorrect","FullNRefined","RecoveryFraction","RelativeRefinementBudget","RefinementPricingDate","RefinementPricingSource","RefinementInputCostPer1MTokens","RefinementOutputCostPer1MTokens"
"ZilionisLung","Lung","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat","full",17,1,"bfcf72a93fe7e73573f3d2cbf363fba6","f7fc26707014281c986d195e2249a863",3717,1970,5687,11.1888799667358,0.00107198,1,0.00107198,17,17,17,1,5,0.294117647058824,1,0,NA,NA,0.294117647058824,1,3,1,1,0,0.0588235294117647,0.0588235294117647,0,"DeepSeekCell",1,17,1,1,NA,NA,NA,NA
"PBMC","PBMC","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,1,"7290d264d5fb8c5e815b078100b48920",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,1,"7290d264d5fb8c5e815b078100b48920",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,1,"7290d264d5fb8c5e815b078100b48920",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,1,"7290d264d5fb8c5e815b078100b48920",NA,0,0,0,0,0,0,NA,8,0,0,0,1,NA,0,1,0.875,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,8,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"PBMC","PBMC","Human","OpenAICell-FullRefined","openai","gpt-5","full",8,1,"7290d264d5fb8c5e815b078100b48920","aa31e41478939bdafb07515c700f8bc9",1891,655,2546,11.9996900558472,0.00891375,1,NA,8,8,8,1,1,0.125,1,0,NA,NA,0.125,1,1,0,1,-0.125,0,0.125,-1,"OpenAICell",0,8,NA,1,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5","random-k",0,1,"3a923c83f85f58ef99c1a748ff4664bd",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5","confidence-k",0,1,"3a923c83f85f58ef99c1a748ff4664bd",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5","evidence-no-ontology-k",0,1,"3a923c83f85f58ef99c1a748ff4664bd",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
"BaronPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5","evidence-k",0,1,"3a923c83f85f58ef99c1a748ff4664bd",NA,0,0,0,0,0,0,NA,16,0,0,0,3,NA,0,1,0.8125,NA,NA,0,0,0,0,NA,NA,NA,NA,"OpenAICell",0,16,NA,0,"2026-08-11","https://developers.openai.com/api/docs/models/gpt-5-chat-latest",1.25,10
