"Dataset","Tissue","Species","Method","LLMBackend","LLMModelID","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"ZilionisLung","Lung","Human","DeepSeekCell-RandomK","deepseek","deepseek-chat",1,"random-k",0,"Confidence",0.185848647058824,0.5519996940821,0.5519996940821,0.267941176470588,0.691666666666667,0.155681592532804,0.797352941176471,0.705882352941177,0.882352941176471,0.588235294117647,0.176470588235294,0.8,0.7,1
"ZilionisLung","Lung","Human","DeepSeekCell-ConfidenceK","deepseek","deepseek-chat",1,"confidence-k",0,"Confidence",0.185848647058824,0.5519996940821,0.5519996940821,0.267941176470588,0.691666666666667,0.155681592532804,0.797352941176471,0.705882352941177,0.882352941176471,0.588235294117647,0.176470588235294,0.8,0.7,1
"ZilionisLung","Lung","Human","DeepSeekCell-NoOntologyK","deepseek","deepseek-chat",1,"evidence-no-ontology-k",0,"Confidence",0.185848647058824,0.5519996940821,0.5519996940821,0.267941176470588,0.691666666666667,0.155681592532804,0.797352941176471,0.705882352941177,0.882352941176471,0.588235294117647,0.176470588235294,0.8,0.7,1
"ZilionisLung","Lung","Human","DeepSeekCell-FullRefined","deepseek","deepseek-chat",1,"full",17,"Confidence",0.219624647058824,0.629513378554551,0.629513378554551,0.188647058823529,0.6,0.182463715638456,0.827235294117647,0.705882352941177,0.941176470588235,0.764705882352941,0.176470588235294,0.6875,0.692307692307692,1
"PBMC","PBMC","Human","OpenAI-Plain","openai","gpt-5",1,"none",0,"LLMConfidence",0.086,0.275539125497098,0.275539125497098,0.1225,0.928571428571429,0.0256696428571429,0.8525,0.875,1,0.625,0.5,0.875,1,1
"PBMC","PBMC","Human","OpenAICell-Evidence","openai","gpt-5",1,"none",0,"LLMConfidence",0.086,0.275539125497098,0.275539125497098,0.1225,0.928571428571429,0.0256696428571429,0.8525,0.875,1,0.625,0.5,0.875,1,1
"PBMC","PBMC","Human","OpenAICell-Calibrated","openai","gpt-5",1,"none",0,"Confidence",0.09303225,0.320935399913224,0.320935399913224,0.1065,0.857142857142857,0.0256696428571429,0.8235,0.875,1,0.625,0.125,0.875,1,1
"PBMC","PBMC","Human","OpenAICell-SelfRefined","openai","gpt-5",1,"evidence-k",0,"Confidence",0.09303225,0.320935399913224,0.320935399913224,0.1065,0.857142857142857,0.0256696428571429,0.8235,0.875,1,0.625,0.125,0.875,1,1
"PBMC","PBMC","Human","OpenAICell-RandomK","openai","gpt-5",1,"random-k",0,"Confidence",0.09303225,0.320935399913224,0.320935399913224,0.1065,0.857142857142857,0.0256696428571429,0.8235,0.875,1,0.625,0.125,0.875,1,1
"PBMC","PBMC","Human","OpenAICell-ConfidenceK","openai","gpt-5",1,"confidence-k",0,"Confidence",0.09303225,0.320935399913224,0.320935399913224,0.1065,0.857142857142857,0.0256696428571429,0.8235,0.875,1,0.625,0.125,0.875,1,1
"PBMC","PBMC","Human","OpenAICell-NoOntologyK","openai","gpt-5",1,"evidence-no-ontology-k",0,"Confidence",0.09303225,0.320935399913224,0.320935399913224,0.1065,0.857142857142857,0.0256696428571429,0.8235,0.875,1,0.625,0.125,0.875,1,1
"PBMC","PBMC","Human","OpenAICell-FullRefined","openai","gpt-5",1,"full",8,"Confidence",0.151468875,0.447535710687508,0.447535710687508,0.224875,0.916666666666667,0.0543154761904762,0.826625,0.75,0.875,0.625,0.25,0.857142857142857,1,1
"BaronPancreas","Pancreas","Human","OpenAI-Plain","openai","gpt-5",1,"none",0,"LLMConfidence",0.10031250000025,0.293541796216813,0.293541796216813,0.07500025,0.91025641025641,0.0343548378704629,0.84374975,0.8125,0.75,0.625,0.625,0.916666666666667,1,1
"BaronPancreas","Pancreas","Human","OpenAICell-Evidence","openai","gpt-5",1,"none",0,"LLMConfidence",0.10031250000025,0.293541796216813,0.293541796216813,0.07500025,0.91025641025641,0.0343548378704629,0.84374975,0.8125,0.75,0.625,0.625,0.916666666666667,1,1
"BaronPancreas","Pancreas","Human","OpenAICell-Calibrated","openai","gpt-5",1,"none",0,"Confidence",0.13583375,0.426545585200464,0.426545585200464,0.176875,0.884615384615385,0.0429857902514153,0.7935,0.8125,0.9375,0.5,0.0625,0.8,1,1
"BaronPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5",1,"evidence-k",0,"Confidence",0.13583375,0.426545585200464,0.426545585200464,0.176875,0.884615384615385,0.0429857902514153,0.7935,0.8125,0.9375,0.5,0.0625,0.8,1,1
"BaronPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5",1,"random-k",0,"Confidence",0.13583375,0.426545585200464,0.426545585200464,0.176875,0.884615384615385,0.0429857902514153,0.7935,0.8125,0.9375,0.5,0.0625,0.8,1,1
"BaronPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5",1,"confidence-k",0,"Confidence",0.13583375,0.426545585200464,0.426545585200464,0.176875,0.884615384615385,0.0429857902514153,0.7935,0.8125,0.9375,0.5,0.0625,0.8,1,1
"BaronPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5",1,"evidence-no-ontology-k",0,"Confidence",0.13583375,0.426545585200464,0.426545585200464,0.176875,0.884615384615385,0.0429857902514153,0.7935,0.8125,0.9375,0.5,0.0625,0.8,1,1
"BaronPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5",1,"full",16,"Confidence",0.1151918125,0.377258048651809,0.377258048651809,0.2340625,0.923076923076923,0.0320956387362637,0.7819375,0.8125,0.75,0.5,0.0625,1,1,1
"MuraroPancreas","Pancreas","Human","OpenAI-Plain","openai","gpt-5",1,"none",0,"LLMConfidence",0.111390909090909,0.459535689996173,0.459535689996173,0.155454545454545,0.45,0.0476747999475272,0.91,0.909090909090909,0.909090909090909,0.818181818181818,0.727272727272727,0.9,0.888888888888889,0.875
"MuraroPancreas","Pancreas","Human","OpenAICell-Evidence","openai","gpt-5",1,"none",0,"LLMConfidence",0.111390909090909,0.459535689996173,0.459535689996173,0.155454545454545,0.45,0.0476747999475272,0.91,0.909090909090909,0.909090909090909,0.818181818181818,0.727272727272727,0.9,0.888888888888889,0.875
"MuraroPancreas","Pancreas","Human","OpenAICell-Calibrated","openai","gpt-5",1,"none",0,"Confidence",0.110130363636364,0.391179332745298,0.391179332745298,0.110727272727273,0.1,0.179492981765709,0.798363636363636,0.909090909090909,0.909090909090909,0.636363636363636,0.0909090909090909,0.9,0.857142857142857,1
"MuraroPancreas","Pancreas","Human","OpenAICell-SelfRefined","openai","gpt-5",1,"evidence-k",0,"Confidence",0.110130363636364,0.391179332745298,0.391179332745298,0.110727272727273,0.1,0.179492981765709,0.798363636363636,0.909090909090909,0.909090909090909,0.636363636363636,0.0909090909090909,0.9,0.857142857142857,1
"MuraroPancreas","Pancreas","Human","OpenAICell-RandomK","openai","gpt-5",1,"random-k",0,"Confidence",0.110130363636364,0.391179332745298,0.391179332745298,0.110727272727273,0.1,0.179492981765709,0.798363636363636,0.909090909090909,0.909090909090909,0.636363636363636,0.0909090909090909,0.9,0.857142857142857,1
"MuraroPancreas","Pancreas","Human","OpenAICell-ConfidenceK","openai","gpt-5",1,"confidence-k",0,"Confidence",0.110130363636364,0.391179332745298,0.391179332745298,0.110727272727273,0.1,0.179492981765709,0.798363636363636,0.909090909090909,0.909090909090909,0.636363636363636,0.0909090909090909,0.9,0.857142857142857,1
"MuraroPancreas","Pancreas","Human","OpenAICell-NoOntologyK","openai","gpt-5",1,"evidence-no-ontology-k",0,"Confidence",0.110130363636364,0.391179332745298,0.391179332745298,0.110727272727273,0.1,0.179492981765709,0.798363636363636,0.909090909090909,0.909090909090909,0.636363636363636,0.0909090909090909,0.9,0.857142857142857,1
"MuraroPancreas","Pancreas","Human","OpenAICell-FullRefined","openai","gpt-5",1,"full",11,"Confidence",0.167196818181818,0.528935770878291,0.528935770878291,0.157727272727273,0.111111111111111,0.313531418076873,0.809363636363636,0.818181818181818,0.818181818181818,0.727272727272727,0.0909090909090909,0.777777777777778,0.75,1
"TasicBrain","Brain","Mouse","OpenAI-Plain","openai","gpt-5",1,"none",0,"LLMConfidence",0.0111866666666667,0.0746378066548824,0.0746378066548824,0.068,NA,0,0.932,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","OpenAICell-Evidence","openai","gpt-5",1,"none",0,"LLMConfidence",0.0111866666666667,0.0746378066548824,0.0746378066548824,0.068,NA,0,0.932,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","OpenAICell-Calibrated","openai","gpt-5",1,"none",0,"Confidence",0.0288508,0.177355725658494,0.177355725658494,0.1608,NA,0,0.8392,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5",1,"evidence-k",0,"Confidence",0.0288508,0.177355725658494,0.177355725658494,0.1608,NA,0,0.8392,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5",1,"random-k",0,"Confidence",0.0288508,0.177355725658494,0.177355725658494,0.1608,NA,0,0.8392,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5",1,"confidence-k",0,"Confidence",0.0288508,0.177355725658494,0.177355725658494,0.1608,NA,0,0.8392,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5",1,"evidence-no-ontology-k",0,"Confidence",0.0288508,0.177355725658494,0.177355725658494,0.1608,NA,0,0.8392,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5",1,"full",15,"Confidence",0.0383448666666667,0.202313267042921,0.202313267042921,0.179133333333333,NA,0,0.820866666666667,1,0.933333333333333,0.6,0.133333333333333,1,1,1
"ZeiselBrain","Brain","Mouse","OpenAI-Plain","openai","gpt-5",1,"none",0,"LLMConfidence",0.1578875,0.547972035525554,0.547972035525554,0.17625,0.641025641025641,0.111535816613942,0.8575,0.8125,0.875,0.75,0.5,0.857142857142857,0.833333333333333,0.875
"ZeiselBrain","Brain","Mouse","OpenAICell-Evidence","openai","gpt-5",1,"none",0,"LLMConfidence",0.1578875,0.547972035525554,0.547972035525554,0.17625,0.641025641025641,0.111535816613942,0.8575,0.8125,0.875,0.75,0.5,0.857142857142857,0.833333333333333,0.875
"ZeiselBrain","Brain","Mouse","OpenAICell-Calibrated","openai","gpt-5",1,"none",0,"Confidence",0.13355575,0.414105910106831,0.414105910106831,0.076125,0.769230769230769,0.0729213061244311,0.823375,0.8125,1,0.5625,0.25,0.8125,0.888888888888889,1
"ZeiselBrain","Brain","Mouse","OpenAICell-SelfRefined","openai","gpt-5",1,"evidence-k",1,"Confidence",0.1038280625,0.347215307684331,0.347215307684331,0.0464375,0.714285714285714,0.0534086573149073,0.8338125,0.875,1,0.625,0.25,0.875,0.9,1
"ZeiselBrain","Brain","Mouse","OpenAICell-RandomK","openai","gpt-5",1,"random-k",1,"Confidence",0.132091,0.410464103349082,0.410464103349082,0.04125,0.82051282051282,0.0642903537434787,0.826,0.8125,1,0.5625,0.25,0.8125,0.888888888888889,1
"ZeiselBrain","Brain","Mouse","OpenAICell-ConfidenceK","openai","gpt-5",1,"confidence-k",1,"Confidence",0.131237,0.40814902386906,0.40814902386906,0.043,0.82051282051282,0.0642903537434787,0.82775,0.8125,1,0.5625,0.25,0.8125,0.888888888888889,1
"ZeiselBrain","Brain","Mouse","OpenAICell-NoOntologyK","openai","gpt-5",1,"evidence-no-ontology-k",1,"Confidence",0.1038280625,0.347215307684331,0.347215307684331,0.0464375,0.714285714285714,0.0534086573149073,0.8338125,0.875,1,0.625,0.25,0.875,0.9,1
"ZeiselBrain","Brain","Mouse","OpenAICell-FullRefined","openai","gpt-5",1,"full",16,"Confidence",0.09523625,0.316850830500767,0.316850830500767,0.132625,0.857142857142857,0.0259758470695971,0.8185,0.875,0.8125,0.625,0.25,0.923076923076923,1,1
"ZilionisLung","Lung","Human","OpenAI-Plain","openai","gpt-5",1,"none",0,"LLMConfidence",0.182917647058824,0.565570892117107,0.565570892117107,0.242352941176471,0.841666666666667,0.0943947584518519,0.883529411764706,0.705882352941177,0.941176470588235,0.705882352941177,0.647058823529412,0.6875,0.916666666666667,0.909090909090909
"ZilionisLung","Lung","Human","OpenAICell-Evidence","openai","gpt-5",1,"none",0,"LLMConfidence",0.182917647058824,0.565570892117107,0.565570892117107,0.242352941176471,0.841666666666667,0.0943947584518519,0.883529411764706,0.705882352941177,0.941176470588235,0.705882352941177,0.647058823529412,0.6875,0.916666666666667,0.909090909090909
"ZilionisLung","Lung","Human","OpenAICell-Calibrated","openai","gpt-5",1,"none",0,"Confidence",0.198884823529412,0.573124892913912,0.573124892913912,0.132941176470588,0.616666666666667,0.182991047783435,0.812235294117647,0.705882352941177,0.941176470588235,0.470588235294118,0.235294117647059,0.75,0.875,1
"ZilionisLung","Lung","Human","OpenAICell-SelfRefined","openai","gpt-5",1,"evidence-k",0,"Confidence",0.198884823529412,0.573124892913912,0.573124892913912,0.132941176470588,0.616666666666667,0.182991047783435,0.812235294117647,0.705882352941177,0.941176470588235,0.470588235294118,0.235294117647059,0.75,0.875,1
