"Replicate","Seed","Dataset","Tissue","Species","Cluster","Truth","NMarkers","ClusterPurity"
1,100,"ZeiselBrain","Brain","Mouse","7","Oligodendrocyte",25,0.981818181818182
1,100,"ZeiselBrain","Brain","Mouse","8","Excitatory neuron",25,0.811881188118812
1,100,"ZeiselBrain","Brain","Mouse","9","Oligodendrocyte",25,0.729166666666667
1,100,"ZeiselBrain","Brain","Mouse","10","Inhibitory neuron",25,0.626666666666667
1,100,"ZeiselBrain","Brain","Mouse","11","Smooth muscle cell",25,0.643835616438356
1,100,"ZeiselBrain","Brain","Mouse","12","Excitatory neuron",25,0.9
1,100,"ZeiselBrain","Brain","Mouse","13","Oligodendrocyte",25,1
1,100,"ZeiselBrain","Brain","Mouse","14","Excitatory neuron",25,0.75
1,100,"ZeiselBrain","Brain","Mouse","15","Microglia",25,0.583333333333333
1,100,"ZilionisLung","Lung","Human","0","T cell",25,0.952837140751658
1,100,"ZilionisLung","Lung","Human","1","Neutrophil",25,0.990206746463547
1,100,"ZilionisLung","Lung","Human","2","Dendritic cell",25,0.989795918367347
1,100,"ZilionisLung","Lung","Human","3","B cell",25,0.941176470588235
1,100,"ZilionisLung","Lung","Human","4","Natural killer cell",25,0.809716599190283
1,100,"ZilionisLung","Lung","Human","5","Neutrophil",25,0.976958525345622
1,100,"ZilionisLung","Lung","Human","6","Epithelial cell",25,0.977777777777778
1,100,"ZilionisLung","Lung","Human","7","Monocyte",25,0.937888198757764
1,100,"ZilionisLung","Lung","Human","8","Epithelial cell",25,0.993333333333333
1,100,"ZilionisLung","Lung","Human","9","Plasma cell",25,1
1,100,"ZilionisLung","Lung","Human","10","T cell",25,0.659574468085106
1,100,"ZilionisLung","Lung","Human","11","Plasma cell",25,0.987179487179487
1,100,"ZilionisLung","Lung","Human","12","Fibroblast",25,0.73134328358209
1,100,"ZilionisLung","Lung","Human","13","Epithelial cell",25,1
1,100,"ZilionisLung","Lung","Human","14","Endothelial cell",25,1
1,100,"ZilionisLung","Lung","Human","15","Erythrocyte",3,0.96875
1,100,"ZilionisLung","Lung","Human","16","Dendritic cell",25,0.96
