"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",1,"random-k",0,"Confidence",0.1464088125,0.458979935879994,0.458979935879994,0.2303125,0.846153846153846,0.0465759500915751,0.8131875,0.8125,1,0.6875,0.0625,0.8125,1,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",1,"confidence-k",0,"Confidence",0.1464088125,0.458979935879994,0.458979935879994,0.2303125,0.846153846153846,0.0465759500915751,0.8131875,0.8125,1,0.6875,0.0625,0.8125,1,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined",1,"full",16,"Confidence",0.124116,0.398615410369062,0.398615410369062,0.2155,1,0.018656994047619,0.798375,0.8125,1,0.6875,0.0625,0.8125,1,1
"MuraroPancreas","Pancreas","Human","DeepSeek-Plain",1,"none",0,"LLMConfidence",0.119318181818182,0.412632319208782,0.412632319208782,0.131818181818182,0.694444444444444,0.0388200183654729,0.904545454545455,0.818181818181818,0.909090909090909,0.909090909090909,0.818181818181818,0.9,0.9,0.888888888888889
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Evidence",1,"none",0,"LLMConfidence",0.119318181818182,0.412632319208782,0.412632319208782,0.131818181818182,0.694444444444444,0.0388200183654729,0.904545454545455,0.818181818181818,0.909090909090909,0.909090909090909,0.818181818181818,0.9,0.9,0.888888888888889
"MuraroPancreas","Pancreas","Human","DeepSeekCell-Calibrated",1,"none",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",1,"evidence-k",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK",1,"random-k",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",1,"confidence-k",0,"Confidence",0.124698454545455,0.425251314310098,0.425251314310098,0.131727272727273,0.555555555555556,0.183625213170668,0.775545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"MuraroPancreas","Pancreas","Human","DeepSeekCell-FullRefined",1,"full",11,"Confidence",0.129873454545455,0.435625251288954,0.435625251288954,0.136727272727273,0.555555555555556,0.183625213170668,0.780545454545455,0.818181818181818,0.818181818181818,0.636363636363636,0,0.888888888888889,0.857142857142857,NA
"TasicBrain","Brain","Mouse","DeepSeek-Plain",1,"none",0,"LLMConfidence",0.0128333333333333,0.0975016794643593,0.0975016794643593,0.09,NA,0,0.91,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-Evidence",1,"none",0,"LLMConfidence",0.0128333333333333,0.0975016794643593,0.0975016794643593,0.09,NA,0,0.91,1,1,0.933333333333333,0.733333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-Calibrated",1,"none",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-SelfRefined",1,"evidence-k",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-RandomK",1,"random-k",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
"TasicBrain","Brain","Mouse","DeepSeekCell-ConfidenceK",1,"confidence-k",0,"Confidence",0.0309274,0.186131708638145,0.186131708638145,0.168333333333333,NA,0,0.831666666666667,1,1,0.666666666666667,0.133333333333333,1,1,1
