"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","Bin","BinLower","BinUpper","N","Coverage","MeanConfidence","Accuracy","AbsCalibrationError"
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",2,"full",8,9,0.8,0.9,7,0.875,0.869571428571429,1,0.130428571428571
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",2,"full",8,10,0.9,1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,8,0.7,0.8,1,0.0625,0.8,0,0.8
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,9,0.8,0.9,7,0.4375,0.871428571428571,0.571428571428571,0.3
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",2,"none",0,10,0.9,1,8,0.5,0.96125,1,0.0387500000000001
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,8,0.7,0.8,1,0.0625,0.8,0,0.8
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,9,0.8,0.9,7,0.4375,0.871428571428571,0.571428571428571,0.3
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",2,"none",0,10,0.9,1,8,0.5,0.96125,1,0.0387500000000001
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,8,0.7,0.8,3,0.1875,0.758333333333333,0.666666666666667,0.0916666666666667
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,9,0.8,0.9,12,0.75,0.819916666666667,0.75,0.0699166666666666
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",2,"none",0,10,0.9,1,1,0.0625,0.951,1,0.049
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,1,0,0.1,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,2,0.1,0.2,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,3,0.2,0.3,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,4,0.3,0.4,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,5,0.4,0.5,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,6,0.5,0.6,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,7,0.6,0.7,0,0,NA,NA,NA
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,8,0.7,0.8,3,0.1875,0.758333333333333,0.666666666666667,0.0916666666666667
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,9,0.8,0.9,12,0.75,0.819916666666667,0.75,0.0699166666666666
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",2,"evidence-k",0,10,0.9,1,1,0.0625,0.951,1,0.049
